id,start_time,end_time,score,coins_collected,ufos_shot,bullets_fired,death_reason,game_duration,pipes_passed
plane_1763300644008,2025-11-16 13:44:04.008000+00:00,2025-11-16 13:45:40.203000+00:00,128,56,24,171,pipe,96,57
plane_1763301316053,2025-11-16 13:55:16.053000+00:00,2025-11-16 13:55:20.345000+00:00,4,1,1,24,pipe,4,2
plane_1763301322650,2025-11-16 13:55:22.650000+00:00,2025-11-16 13:55:37.094000+00:00,22,7,5,50,pipe,14,8
plane_1763301799623,2025-11-16 14:03:19.623000+00:00,2025-11-16 14:04:09.355000+00:00,83,29,18,99,pipe,49,29
plane_1763302666814,2025-11-16 14:17:46.814000+00:00,2025-11-16 14:18:29.945000+00:00,64,25,13,78,pipe,43,25
plane_1763304154324,2025-11-16 14:42:34.324000+00:00,2025-11-16 14:42:36.945000+00:00,3,0,1,13,pipe,2,1
plane_1763304158507,2025-11-16 14:42:38.507000+00:00,2025-11-16 14:43:05.695000+00:00,42,15,9,55,enemy_bullet,27,16
plane_1763304721512,2025-11-16 14:52:01.512000+00:00,2025-11-16 14:52:05.821000+00:00,7,1,2,16,pipe,4,2
plane_1763304738741,2025-11-16 14:52:18.741000+00:00,2025-11-16 14:52:46.372000+00:00,48,15,11,54,pipe,27,16
plane_1763307034614,2025-11-16 15:30:34.614000+00:00,2025-11-16 15:30:54.313000+00:00,29,11,6,52,pipe,19,11
plane_1763307165602,2025-11-16 15:32:45.602000+00:00,2025-11-16 15:32:46.411000+00:00,0,0,0,0,ground,0,0
plane_1763307171653,2025-11-16 15:32:51.653000+00:00,2025-11-16 15:32:52.461000+00:00,0,0,0,0,ground,0,0
plane_1763307174646,2025-11-16 15:32:54.646000+00:00,2025-11-16 15:32:57.279000+00:00,6,0,2,21,pipe,2,1
plane_1763307180285,2025-11-16 15:33:00.285000+00:00,2025-11-16 15:33:03.129000+00:00,6,0,2,15,pipe,2,1
plane_1763307208046,2025-11-16 15:33:28.046000+00:00,2025-11-16 15:33:28.862000+00:00,0,0,0,0,ground,0,0
plane_1763307216797,2025-11-16 15:33:36.797000+00:00,2025-11-16 15:34:10.427000+00:00,52,19,11,61,enemy_bullet,33,20
plane_1763307648801,2025-11-16 15:40:48.801000+00:00,2025-11-16 15:41:17.456000+00:00,37,16,7,56,enemy_bullet,28,17
plane_1763307720761,2025-11-16 15:42:00.761000+00:00,2025-11-16 15:42:05.688000+00:00,8,2,2,22,pipe,4,2
plane_1763307727224,2025-11-16 15:42:07.224000+00:00,2025-11-16 15:42:18.205000+00:00,17,5,4,34,pipe,10,6
plane_1763307750093,2025-11-16 15:42:30.093000+00:00,2025-11-16 15:42:33.289000+00:00,7,1,2,20,pipe,3,1
plane_1763307756369,2025-11-16 15:42:36.369000+00:00,2025-11-16 15:42:41.020000+00:00,7,1,2,15,pipe,4,2
plane_1763307764976,2025-11-16 15:42:44.976000+00:00,2025-11-16 15:43:01.171000+00:00,32,8,8,43,pipe,16,8
plane_1763307784556,2025-11-16 15:43:04.556000+00:00,2025-11-16 15:43:09.138000+00:00,7,1,2,29,pipe,4,2
plane_1763307790241,2025-11-16 15:43:10.241000+00:00,2025-11-16 15:43:21.204000+00:00,20,5,5,49,pipe,10,6
plane_1763307845392,2025-11-16 15:44:05.392000+00:00,2025-11-16 15:44:11.921000+00:00,9,3,2,28,pipe,6,3
plane_1763307854083,2025-11-16 15:44:14.083000+00:00,2025-11-16 15:44:16.854000+00:00,3,0,1,16,pipe,2,1
plane_1763307858380,2025-11-16 15:44:18.380000+00:00,2025-11-16 15:44:27.870000+00:00,10,4,2,37,pipe,9,5
plane_1763307878684,2025-11-16 15:44:38.684000+00:00,2025-11-16 15:44:56.303000+00:00,21,9,4,63,pipe,17,10
plane_1763307913785,2025-11-16 15:45:13.785000+00:00,2025-11-16 15:45:18.070000+00:00,7,1,2,26,pipe,4,2
plane_1763307925421,2025-11-16 15:45:25.422000+00:00,2025-11-16 15:45:28.054000+00:00,6,0,2,26,pipe,2,1
plane_1763307934160,2025-11-16 15:45:34.160000+00:00,2025-11-16 15:45:53.787000+00:00,25,10,5,38,pipe,19,11
plane_1763308106189,2025-11-16 15:48:26.189000+00:00,2025-11-16 15:48:30.535000+00:00,7,1,2,19,pipe,4,2
plane_1763308113992,2025-11-16 15:48:33.992000+00:00,2025-11-16 15:48:43.285000+00:00,7,4,1,33,pipe,9,5
plane_1763308124786,2025-11-16 15:48:44.786000+00:00,2025-11-16 15:48:54.434000+00:00,10,4,2,28,pipe,9,5
plane_1763309046727,2025-11-16 16:04:06.727000+00:00,2025-11-16 16:04:11.091000+00:00,7,1,2,18,pipe,4,2
plane_1763309066474,2025-11-16 16:04:26.474000+00:00,2025-11-16 16:04:31.073000+00:00,7,1,2,13,pipe,4,2
plane_1763309086683,2025-11-16 16:04:46.683000+00:00,2025-11-16 16:04:54.507000+00:00,14,2,4,28,pipe,7,4
plane_1763309140583,2025-11-16 16:05:40.583000+00:00,2025-11-16 16:05:50.371000+00:00,17,5,4,25,pipe,9,5
plane_1763309155360,2025-11-16 16:05:55.360000+00:00,2025-11-16 16:06:07.989000+00:00,15,6,3,28,pipe,12,7
plane_1763309173663,2025-11-16 16:06:13.663000+00:00,2025-11-16 16:06:41.772000+00:00,55,16,13,63,pipe,28,16
plane_1763309241995,2025-11-16 16:07:21.995000+00:00,2025-11-16 16:07:35.021000+00:00,22,7,5,29,pipe,13,7
plane_1763309257139,2025-11-16 16:07:37.139000+00:00,2025-11-16 16:07:43.105000+00:00,8,2,2,17,pipe,5,3
plane_1763309291267,2025-11-16 16:08:11.267000+00:00,2025-11-16 16:08:17.570000+00:00,8,2,2,26,pipe,6,3
plane_1763309301375,2025-11-16 16:08:21.376000+00:00,2025-11-16 16:08:42.371000+00:00,35,11,8,61,pipe,20,12
plane_1763309328275,2025-11-16 16:08:48.275000+00:00,2025-11-16 16:09:13.870000+00:00,40,13,9,52,enemy_bullet,25,15
plane_1763309357376,2025-11-16 16:09:17.376000+00:00,2025-11-16 16:09:29.621000+00:00,12,6,2,39,enemy_bullet,12,7
plane_1763309398031,2025-11-16 16:09:58.031000+00:00,2025-11-16 16:10:13.270000+00:00,10,4,2,16,pipe,15,5
plane_1763309595047,2025-11-16 16:13:15.047000+00:00,2025-11-16 16:13:19.334000+00:00,7,1,2,17,pipe,4,2
plane_1763309655659,2025-11-16 16:14:15.659000+00:00,2025-11-16 16:14:20.234000+00:00,7,1,2,18,pipe,4,2
plane_1763309668260,2025-11-16 16:14:28.260000+00:00,2025-11-16 16:14:29.067000+00:00,0,0,0,0,ground,0,0
plane_1763309670687,2025-11-16 16:14:30.687000+00:00,2025-11-16 16:14:31.499000+00:00,0,0,0,0,ground,0,0
plane_1763309672599,2025-11-16 16:14:32.599000+00:00,2025-11-16 16:14:33.399000+00:00,0,0,0,0,ground,0,0
plane_1763309674928,2025-11-16 16:14:34.928000+00:00,2025-11-16 16:14:41.516000+00:00,9,3,2,23,pipe,6,3
plane_1763309682847,2025-11-16 16:14:42.847000+00:00,2025-11-16 16:14:57.133000+00:00,22,7,5,43,pipe,14,8
plane_1763309701494,2025-11-16 16:15:01.494000+00:00,2025-11-16 16:15:10.782000+00:00,10,4,2,29,pipe,9,5
plane_1763309713152,2025-11-16 16:15:13.152000+00:00,2025-11-16 16:15:20.799000+00:00,15,3,4,27,pipe,7,4
plane_1763309725255,2025-11-16 16:15:25.255000+00:00,2025-11-16 16:15:31.366000+00:00,8,2,2,33,pipe,6,3
plane_1763309733627,2025-11-16 16:15:33.627000+00:00,2025-11-16 16:15:35.516000+00:00,3,0,1,33,ceiling,1,1
plane_1763309736835,2025-11-16 16:15:36.835000+00:00,2025-11-16 16:16:08.649000+00:00,42,18,8,76,enemy_bullet,31,19
plane_1763309774741,2025-11-16 16:16:14.741000+00:00,2025-11-16 16:16:50.698000+00:00,47,20,9,75,pipe,35,21
plane_1763309426871,2025-11-16 16:10:26.871000+00:00,2025-11-16 16:10:28.370000+00:00,0,0,0,1,ground,1,0
plane_1763309431683,2025-11-16 16:10:31.683000+00:00,2025-11-16 16:10:32.487000+00:00,0,0,0,0,ground,0,0
plane_1763309433038,2025-11-16 16:10:33.038000+00:00,2025-11-16 16:10:33.853000+00:00,0,0,0,0,ground,0,0
plane_1763309435507,2025-11-16 16:10:35.507000+00:00,2025-11-16 16:10:36.320000+00:00,0,0,0,0,ground,0,0
